rank,german,dutch,dutch_alt,dutch_article,pos,lemma_used,match_type,frequency,per_million
202,besser,beter,,,Adjektiv,,direct,92556,592.66
203,musst,moeten,,,Verb,müssen,lemma,92429,591.85
204,wieso,waarom,,,Adverb,,direct,92191,590.33
205,sir,heer,,de,Substantiv,,direct,92012,589.18
206,dieses,dit,,,,,direct,91148,583.65
207,selbst,zelf,zelfs,,Demonstrativpronomen,,direct,90135,577.16
208,gehört,horen,luisteren,,Verb,hören,lemma,89459,572.83
209,möchte,mogen,,,Verb,mögen,lemma,89068,570.33
210,ohne,zonder,,,Präposition,,direct,88934,569.47
211,hör,horen,luisteren,,Verb,hören,lemma,88336,565.64
212,her,geleden,,,Adverb,,direct,87571,560.74
213,sag,zeggen,spreken,,Verb,sagen,lemma,87203,558.39
214,meiner,mijn,,,Possessivpronomen,mein,lemma,86264,552.37
215,anderen,ander,,,,ander,lemma,86205,552.00
216,helfen,helpen,bijstaan,,Verb,,direct,85664,548.53
217,nacht,nacht,,de,Substantiv,,direct,85102,544.93
218,finden,vinden,,,Verb,,direct,83987,537.79
219,diesen,dit,deze,,Pronomen,dies,lemma,83932,537.44
220,gute,goed,,,Adjektiv,gut,lemma,83835,536.82
221,wirst,worden,zullen; gaan,,Verb,werden,lemma,83791,536.54
222,lange,lang,,,Adverb,,direct,82872,530.65
223,natürlich,natuurlijk,uiteraard; vanzelfsprekend,,Adjektiv,,direct,82710,529.62
224,ach,genade,,,Interjektion,,direct,82252,526.68
225,meinem,mijn,,,Possessivpronomen,mein,lemma,82233,526.56
226,gar,gaar,,,Adjektiv,,direct,82082,525.60
227,ins,,,,,,none,80529,515.65
228,sei,zijn,wezen,,Verb,sein,lemma,80433,515.04
229,dort,daar,,,Adverb,,direct,79951,511.95
230,weiter,verder,,,Adjektiv,,direct,79598,509.69
231,geben,geven,zijn; verstrekken; bestaan,,Verb,,direct,78926,505.39
232,seit,sinds,sedert,,Präposition,,direct,78517,502.77
233,gleich,gelijk,meteen; dadelijk; onmiddellijk,,Adjektiv,,direct,78080,499.97
234,sagt,zeggen,spreken,,Verb,sagen,lemma,78008,499.51
235,recht,recht,,het,Substantiv,,direct,77861,498.57
236,ihren,jullie,,,Personalpronomen,ihr,lemma,76796,491.75
237,richtig,correct,juist,,Adjektiv,,direct,76789,491.70
238,ordnung,orde,,,Substantiv,,direct,76635,490.72
239,vom,van,,,Kontraktion,,direct,76597,490.47
240,hören,horen,luisteren,,Verb,,direct,76109,487.35
241,sieht,zien,aanschouwen,,Verb,sehen,lemma,75968,486.45
242,davon,daarvan,,,Pronominaladverb,,direct,75947,486.31
243,dafür,ervoor,,,Pronominaladverb,,direct,75302,482.18
244,geh,gaan,lopen; rijzen,,Verb,gehen,lemma,74468,476.84
245,diesem,dit,deze,,Pronomen,dies,lemma,74234,475.34
246,wegen,wegens,vanwege,,Postposition,,direct,74062,474.24
247,hause,wachten,,,Verb,hausen,lemma,73059,467.82
248,sollten,moeten,zullen,,Verb,sollen,lemma,72777,466.01
249,mädchen,meisje,meid,het,Substantiv,,direct,72685,465.42
250,hin,heengegaan,,,Adverb,,direct,72272,462.78
251,sollen,moeten,zullen,,Verb,,direct,71445,457.48
252,abend,avond,,de,Substantiv,,direct,71375,457.04
253,haus,huis,kamer; jongen,het,Substantiv,,direct,70976,454.48
254,denke,denken,,,Verb,denken,lemma,70824,453.51
255,viele,veel,,,,,direct,70545,451.72
256,drei,drie,,,Numerale,,direct,69824,447.10
257,deinen,jouw,,,Possessivpronomen,dein,lemma,69621,445.80
258,freund,vriend,,de,Substantiv,,direct,69586,445.58
259,guten,goed,,,Adjektiv,gut,lemma,68866,440.97
260,unser,ons,,,Possessivpronomen,,direct,68722,440.05
261,warte,wachttoren,,,Substantiv,,direct,68407,438.03
262,machst,doen,maken,,Verb,machen,lemma,67926,434.95
263,menschen,mens,,de,Substantiv,Mensch,lemma,67631,433.06
264,essen,eten,schaften,,Verb,,direct,67594,432.82
265,angst,angst,vrees,de,Substantiv,,direct,67249,430.62
266,bleiben,blijven,,,Verb,,direct,67238,430.54
267,zusammen,samen,met elkaar; onderling,,Adverb,,direct,66885,428.28
268,welt,wereld,,,Substantiv,,direct,66821,427.87
269,unter,onder,te midden van,,Präposition,,direct,66173,423.73
270,habt,hebben,,,Verb,haben,lemma,66045,422.91
271,schnell,snel,,,Adjektiv,,direct,66011,422.69
272,andere,ander,,,,ander,lemma,65229,417.68
273,tot,dood,,,Adjektiv,,direct,64995,416.18
274,getan,doen,,,Verb,tun,lemma,64404,412.40
275,darf,mogen,,,Verb,dürfen,lemma,64161,410.84
276,erst,pas,,,Adverb,,direct,64092,410.40
277,rein,puur,,,Adjektiv,,direct,64028,409.99
278,stimmt,klopt,,,,,direct,63896,409.15
279,nehmen,nemen,pakken; benemen; gebruiken,,Verb,,direct,63773,408.36
280,kinder,kind,,het,Substantiv,Kind,lemma,63716,407.99
281,eines,een,,,Artikel,ein,lemma,63710,407.95
282,glauben,geloven,,,Verb,,direct,63577,407.10
283,bringen,brengen,,,Verb,,direct,63285,405.23
284,ganze,geheel,,,,,direct,62461,399.96
285,genug,genoeg,,,Adjektiv,,direct,62381,399.44
286,scheiße,schijt,,,Adjektiv,,direct,61982,396.89
287,brauchen,nodig hebben,behoeven; gebruiken; hoeven,,Verb,,direct,61791,395.67
288,gegen,tegen,,,Präposition,,direct,61438,393.41
289,moment,moment,tijdstip; ogenblik,,Substantiv,,direct,61265,392.30
290,junge,jongen,joch; jochie,de,Substantiv,,direct,60843,389.60
291,steht,staan,,,Verb,stehen,lemma,60832,389.53
292,sonst,afgezien van,,,Adverb,,direct,60478,387.26
293,musik,muziek,toonkunst,de,Substantiv,,direct,59500,381.00
294,arbeit,werk,arbeid; baan; huiswerk,,Substantiv,,direct,59309,379.77
295,seid,zijn,wezen,,Verb,sein,lemma,58799,376.51
296,ihrer,haar,,,Personalpronomen,,direct,58510,374.66
297,fragen,vragen,,,Verb,,direct,58352,373.65
298,herr,heer,Heer; mijnheer; meneer,de,Substantiv,,direct,58200,372.67
299,dabei,naast,,,Pronominaladverb,,direct,57923,370.90
300,heißt,heten,betekenen,,Verb,heißen,lemma,57306,366.95
301,familie,familie,gezin,de,Substantiv,,direct,57288,366.83
302,warten,wachten,onderhouden; verzorgen,,Verb,,direct,56911,364.42
303,niemand,niemand,,,Indefinitpronomen,,direct,56907,364.39
304,sofort,meteen,onmiddellijk; ogenblikkelijk,,Temporaladverb,,direct,56605,362.46
305,bevor,voordat,,,Subjunktion,,direct,56210,359.93
306,jahre,jaar,,het,Substantiv,Jahr,lemma,56075,359.06
307,einmal,eens,,,Adverb,,direct,55398,354.73
308,problem,probleem,,het,Substantiv,,direct,54783,350.79
309,sohn,zoon,,de,Substantiv,,direct,54396,348.31
310,wann,wanneer,,,Adverb,,direct,54105,346.45
311,brauche,nodig hebben,behoeven; gebruiken; hoeven,,Verb,brauchen,lemma,53799,344.49
312,fertig,klaar,,,Adjektiv,,direct,53738,344.10
313,halt,halte,,,Substantiv,,direct,53723,344.00
314,allein,alleen,,,Adjektiv,,direct,53720,343.99
315,beim,,,,,,none,53673,343.68
316,sprechen,spreken,praten,,Verb,,direct,53232,340.86
317,beide,beide,allebei,,Indefinitpronomen,,direct,53120,340.14
318,gefunden,terecht,,,,,direct,53083,339.91
319,hatten,hebben,,,Verb,haben,lemma,53008,339.43
320,sache,zaak,,de,Substantiv,,direct,52830,338.29
321,hilfe,hulp,,de,Substantiv,,direct,52679,337.32
322,verdammt,doemen,verdomd,,Adjektiv,,direct,52499,336.17
323,ne,,,,,,none,52438,335.78
324,jeder,ieder,iedereen; elk,,Indefinitpronomen,,direct,52254,334.60
325,warst,zijn,wezen,,Verb,sein,lemma,52211,334.32
326,gern,graag,,,Adverb,,direct,52147,333.91
327,konnte,kunnen,,,Verb,können,lemma,51818,331.81
328,darüber,overheen,,,Pronominaladverb,,direct,51711,331.12
329,halten,houden,vasthouden,,Verb,,direct,51690,330.99
330,siehst,zien,aanschouwen,,Verb,sehen,lemma,51444,329.41
331,verstehe,verstaan,overweg komen; begrijpen,,Verb,verstehen,lemma,51294,328.45
332,jahren,jaar,,het,Substantiv,Jahr,lemma,51158,327.58
333,kam,komen,klaarkomen,,Verb,kommen,lemma,51041,326.83
334,kind,kind,,het,Substantiv,,direct,50922,326.07
335,wusste,weten,,,Verb,wissen,lemma,50878,325.79
336,wahr,waar,,,Adjektiv,,direct,50700,324.65
337,seinen,zijn,wezen,,Verb,sein,lemma,50311,322.16
338,dazu,daarbij,daartoe; erbij; ten,,Pronominaladverb,,direct,50144,321.09
339,bruder,broer,broeder,de,Substantiv,,direct,50137,321.04
340,daran,daarop,,,Adverb,,direct,50081,320.68
341,ihrem,jullie,,,Personalpronomen,ihr,lemma,50046,320.46
342,denken,denken,,,Verb,,direct,49912,319.60
343,könnten,kunnen,,,Verb,können,lemma,49708,318.30
344,dank,dankzij,,,Präposition,,direct,49155,314.75
345,würden,worden,zullen; gaan,,Verb,werden,lemma,49143,314.68
346,lieber,liever,,,Adverb,,direct,49123,314.55
347,fall,geval,val; naamval; zaak,,Substantiv,,direct,49042,314.03
348,deiner,jouw,,,Possessivpronomen,dein,lemma,48756,312.20
349,sehe,zien,aanschouwen,,Verb,sehen,lemma,48293,309.23
350,egal,altijd,,,Adjektiv,,direct,48287,309.20
351,kennen,kennen,,,Verb,,direct,48114,308.09
352,deinem,jouw,,,Possessivpronomen,dein,lemma,48010,307.42
353,vergessen,vergeten,,,Verb,,direct,47889,306.65
354,frage,vraag,vraagstuk,,Substantiv,,direct,47512,304.23
355,mache,brengen,,,Substantiv,,direct,47510,304.22
356,komme,komen,klaarkomen,,Verb,kommen,lemma,47282,302.76
357,sage,sage,,,Substantiv,,direct,47197,302.22
358,mag,wel,,,,,direct,47150,301.92
359,sieh,zien,aanschouwen,,Verb,sehen,lemma,47133,301.81
360,echt,echt,echte,,Adjektiv,,direct,46884,300.21
361,gib,geven,zijn; verstrekken; bestaan,,Verb,geben,lemma,46863,300.08
362,eigentlich,eigenlijk,,,Adverb,,direct,46744,299.32
363,jeden,ieder,iedereen; elk,,Indefinitpronomen,jeder,lemma,46594,298.36
364,dad,,,,,,none,46472,297.57
365,gab,geven,zijn; verstrekken; bestaan,,Verb,geben,lemma,46178,295.69
366,uhr,klok,uur; tijdklok; meetklok,,Substantiv,,direct,46117,295.30
367,stadt,stad,,de,Substantiv,,direct,45812,293.35
368,männer,man,echtgenoot,de,Substantiv,Mann,lemma,45451,291.04
369,baby,baby,,de,Substantiv,,direct,45434,290.93
370,fahren,rijden,,,Verb,,direct,45060,288.53
371,namen,naam,,de,Substantiv,Name,lemma,44998,288.14
372,bekommen,krijgen,bekomen; pakken,,Verb,,direct,44852,287.20
373,kopf,hoofd,kop,het,Substantiv,,direct,44851,287.19
374,hi,-en,,,Adverb,,direct,44653,285.93
375,gehe,gaan,lopen; rijzen,,Verb,gehen,lemma,44502,284.96
376,kleine,klein,minuscuul,,Adjektiv,klein,lemma,44338,283.91
377,später,later,,,Adjektiv,,direct,44320,283.79
378,glück,geluk,voorspoed,,Substantiv,,direct,44295,283.63
379,letzte,laatst,,,Adjektiv,,direct,44246,283.32
380,freunde,,,,,,none,43913,281.19
381,all,al,,,Indefinitpronomen,,direct,43808,280.52
382,darauf,daarop,erop,,Adverb,,direct,43236,276.85
383,ende,einde,stuk; touw,,Substantiv,,direct,43216,276.72
384,bald,straks,spoedig; weldra,,Adverb,,direct,42834,274.28
385,töten,doden,,,Verb,,direct,42735,273.64
386,dinge,spullen,,,,,direct,42560,272.52
387,meinst,denken,menen,,Verb,meinen,lemma,42522,272.28
388,toll,leuk,,,Adjektiv,,direct,42438,271.74
389,eins,één,een,,Numerale,,direct,42157,269.94
390,minuten,minuut,,,Substantiv,Minute,lemma,42139,269.83
391,vielen,veel,,,,,direct,42047,269.24
392,bereit,klaar,,,Adjektiv,,direct,41925,268.46
393,weit,wijd,,,Adjektiv,,direct,41558,266.11
394,ahnung,denkbeeld,,,Substantiv,,direct,41525,265.90
395,seiner,zijn,wezen,,Verb,sein,lemma,41478,265.60
396,bisschen,beetje,,,Indefinitpronomen,,direct,41471,265.55
397,tür,deur,,,Substantiv,,direct,41457,265.46
398,auto,auto,autootje,de,Substantiv,,direct,41372,264.92
399,jungs,jongen,joch; jochie,de,Substantiv,Junge,lemma,40783,261.15
400,eure,jullie,,,Possessivpronomen,euer,lemma,40647,260.27
401,augen,oog,kijker,het,Substantiv,Auge,lemma,40593,259.93
402,polizei,politie,,de,Substantiv,,direct,40572,259.79
403,stehen,staan,,,Verb,,direct,40469,259.14
404,sterben,sterven,doodgaan,,Verb,,direct,40334,258.27
405,hätten,hebben,,,Verb,haben,lemma,40190,257.35
406,draußen,buiten,,,Adverb,,direct,40075,256.61
407,kenne,kennen,,,Verb,kennen,lemma,39750,254.53
408,fast,bijna,haast,,Adverb,,direct,39542,253.20
409,runter,naar beneden,neerwaarts,,Lokaladverb,,direct,39290,251.59
410,vorbei,voorbij,,,Lokaladverb,,direct,38763,248.21
411,treffen,treffen,,,Substantiv,,direct,38758,248.18
412,gerne,graag,,,Adverb,,direct,38739,248.06
413,dran,beurt,,,Adverb,,direct,38593,247.12
414,wurden,worden,zullen; gaan,,Verb,werden,lemma,38564,246.94
415,arbeiten,werken,arbeiden,,Verb,,direct,38510,246.59
416,mom,,,,,,none,38250,244.93
417,verrückt,gek,idioot; verschoven,,Adjektiv,,direct,38126,244.13
418,neue,nieuw,,,Adjektiv,neu,lemma,38119,244.09
419,ging,gaan,lopen; rijzen,,Verb,gehen,lemma,38051,243.65
420,hinter,achter,,,Präposition,,direct,37964,243.09
421,sorgen,zorgen,verzorgen,,Verb,,direct,37844,242.33
422,einzige,enig,,,Adjektiv,einzig,lemma,37724,241.56
423,jemanden,iemand,,,Indefinitpronomen,jemand,lemma,37451,239.81
424,darum,daarom,,,Adverb,,direct,37424,239.64
425,tochter,dochter,,de,Substantiv,,direct,37375,239.32
426,braucht,nodig hebben,behoeven; gebruiken; hoeven,,Verb,brauchen,lemma,37187,238.12
427,idee,idee,notie,,Substantiv,,direct,37181,238.08
428,schwester,zuster,zus,de,Substantiv,,direct,37032,237.13
429,drin,binnen,,,Adverb,,direct,36941,236.54
430,ruhig,rustig,sereen,,Adjektiv,,direct,36940,236.54
431,sah,zien,aanschouwen,,Verb,sehen,lemma,36936,236.51
432,ganzen,heel,geheel; compleet; gaaf,,Adjektiv,ganz,lemma,36929,236.47
433,spät,laat,,,Adjektiv,,direct,36834,235.86
434,ziemlich,vrij,tamelijk; redelijk; nogal,,Gradpartikel,,direct,36820,235.77
435,solltest,moeten,zullen,,Verb,sollen,lemma,36770,235.45
436,name,naam,,de,Substantiv,,direct,36668,234.80
437,sogar,zelfs,,,Adverb,,direct,36650,234.68
438,kurz,kort,kortstondig,,Adjektiv,,direct,36629,234.55
439,kerl,kerel,vent; pik,,Substantiv,,direct,36512,233.80
440,frauen,vrouw,mevrouw; echtgenote,de,Substantiv,Frau,lemma,36457,233.45
441,liegt,liggen,,,Verb,liegen,lemma,36313,232.52
442,suchen,zoeken,,,Verb,,direct,36294,232.40
443,finde,vinden,,,Verb,finden,lemma,36286,232.35
444,je,ooit,,,Adverb,,direct,36205,231.83
445,woher,vanwaar,,,Adverb,,direct,36061,230.91
446,lang,lang,,,Adjektiv,,direct,36029,230.70
447,job,job,,,Substantiv,,direct,35995,230.49
